handle,text,truncated,cleaned_text,subjectivity,polarity,sentiment_analysis
realDonaldTrump,"Hillary Clinton's Campaign Continues To Make False Claims About Foundation Disclosure: 
https://t.co/zhkEfUouHH",False,hillary clinton campaign continues make false claims foundation disclosure,0.6,-0.4000000000000001,negative
realDonaldTrump,"'CNBC, Time magazine online polls say Donald Trump won the first presidential debate' via @WashTimes. #MAGA
https://t.co/PGimqYKPoJ",False,cnbc time magazine online polls say donald trump first presidential debate via washtimes maga,0.3333333333333333,0.25,positive
HillaryClinton,Donald Trump lied to the American people at least 58 times during the first presidential debate. (We counted.) https://t.co/h43O6Rws4S,False,donald trump lied american people least times first presidential debate counted,0.24444444444444446,-0.016666666666666663,negative
realDonaldTrump,Great afternoon in Little Havana with Hispanic community leaders. Thank you for your support! #ImWithYou https://t.co/vxWZ2tyJTF,False,great afternoon little havana hispanic community leaders thank support imwithyou,0.625,0.30625,positive
realDonaldTrump,"In the last 24 hrs. we have raised over $13M from online donations and National Call Day, and we’re still going! Thank you America! #MAGA",False,last hrs raised online donations national call day still going thank america maga,0.06666666666666667,0.0,neutral
HillaryClinton,"“She gained about 55 pounds in...9 months. She was like an eating machine.” —Trump, a man who wants to be president: https://t.co/1ht91eZCyw",False,gained pounds months like eating machine trump man wants president,0.1,0.2,positive
HillaryClinton,It's #NationalVoterRegistrationDay. Celebrate by registering to vote → https://t.co/tTgeqxNqYm https://t.co/R6lVvgLECG,False,nationalvoterregistrationday celebrate registering vote,0.0,0.0,neutral
HillaryClinton,"""I love this country.
I’m proud of this country.
I want to be a leader who brings people together.""
—Hillary #LoveTrumpsHate",False,love country proud country want leader brings people together hillary lovetrumpshate,0.8,0.65,positive
HillaryClinton,"We don’t want to turn against each other.
We want to work with one another.
We want to set big goals in this country.
#StrongerTogether",False,want turn want work one another want set big goals country strongertogether,0.1,0.0,neutral
HillaryClinton,"""What we hear from my opponent is dangerously incoherent. It's unclear what he's saying, but words matter."" —Hillary",False,hear opponent dangerously incoherent unclear saying words matter hillary,0.16666666666666666,-0.20000000000000004,negative
HillaryClinton,One candidate made it clear he wasn’t prepared for last night’s debate. The other made it clear she’s prepared to b… https://t.co/InYZBmnbBM,True,one candidate made clear prepared last night debate made clear prepared,0.27777777777777773,0.06666666666666668,positive
HillaryClinton,"""What kind of a person would want to root for 9 million families losing their homes?

One who should never be president."" —Hillary on Trump",False,kind person would want root million families losing homes one never president hillary trump,0.9,0.6,positive
HillaryClinton,"""I don’t think that any family should have to pay more than 10% of their income on child care.” —Hillary https://t.co/pepW0auI8n",False,think family pay income child care hillary,0.0,0.0,neutral
HillaryClinton,"""I’m really glad my dad never had a contract with Donald Trump.” —Hillary https://t.co/un2YiRLEYF",False,really glad dad never contract donald trump hillary,1.0,0.5,positive
HillaryClinton,"When you work hard, you should not be living in poverty. https://t.co/86sTOCAkkq",False,work hard living poverty,0.5416666666666666,-0.2916666666666667,negative
realDonaldTrump,"Well, now they're saying that I not only won the NBC Presidential Forum, but last night the big debate. Nice!",False,well saying nbc presidential forum last night big debate nice,0.3888888888888889,0.19999999999999998,positive
HillaryClinton,"""We may have a record-setting turnout in this election.

We could have the biggest turnout we've ever had."" https://t.co/tTgeqxNqYm",False,may record setting turnout election could biggest turnout ever,0.0,0.0,neutral
HillaryClinton,"""You can go to https://t.co/tTgeqxNqYm to make sure you are registered. And I hope you all will.” —Hillary #NationalVoterRegistrationDay",False,make sure registered hope hillary nationalvoterregistrationday,0.8888888888888888,0.5,positive
HillaryClinton,Join Hillary live in NC for her first rally since winning last night's debate → https://t.co/DzEpIDf7HY #NationalVoterRegistrationDay,False,join hillary live first rally since winning last night debate nationalvoterregistrationday,0.4125,0.2215909090909091,positive
HillaryClinton,So. Everything you're feeling after #Debates2016? It's #NationalVoterRegistrationDay. PLEASE:… https://t.co/YnOtJL8bW7,False,everything feeling debates nationalvoterregistrationday please,0.0,0.0,neutral
HillaryClinton,"“Donald just criticized me for preparing for this debate. And you know what else I prepared for?

I prepared to be… https://t.co/QjB01msPaT",True,donald criticized preparing debate know else prepared prepared,0.0,0.0,neutral
realDonaldTrump,"Thank you for your endorsement, @GovernorSununu. #MAGA 
https://t.co/8BEeQPsuyd",False,thank endorsement governorsununu maga,0.0,0.0,neutral
HillaryClinton,Hillary was the winner of the first presidential debate—and newspapers across America agree. #SheWon… https://t.co/oDiUHd0eXO,True,hillary winner first presidential debate newspapers across america agree shewon,0.3333333333333333,0.25,positive
HillaryClinton,"Trump sobre Alicia Machado en 1996: ""Miss Piggy""

Esta mañana: ""Aumentó mucho de peso... era un problema serio"". https://t.co/Sv92DhXTPJ",False,trump sobre alicia machado miss piggy esta mañana aumentó mucho peso era problema serio,0.0,0.0,neutral
HillaryClinton,Register and vote for Democrats like @HillaryClinton and @KatieMcGintyPA: https://t.co/tu6W6eS9xR #iRegistered… https://t.co/9ovdecqadN,False,register vote democrats like hillaryclinton katiemcgintypa iregistered,0.0,0.0,neutral
HillaryClinton,I've been fortunate to meet young Americans from all over the country. We all make choices. This is mine...… https://t.co/bYoUE91TOO,False,fortunate meet young americans country make choices mine,0.55,0.25,positive
HillaryClinton,"""She gained a massive amount of weight...it was a real problem."" —Trump this morning on Alicia Machado https://t.co/LJPlFegSTs",False,gained massive amount weight real problem trump morning alicia machado,0.65,0.1,positive
HillaryClinton,"Today is #NationalVoterRegistrationDay - I was beaten, left bloody &amp; unconscious so that every person could register and vote. Do your part.",False,today nationalvoterregistrationday beaten left bloody amp unconscious every person could register vote part,0.45,-0.4,negative
HillaryClinton,More than 70 million Americans aren't registered to vote. We have to do better! Get registered &amp; spread the word: https://t.co/IobF5PQ7jv,False,million americans registered vote better get registered amp spread word,0.5,0.5,positive
HillaryClinton,"When you have a really, really good night. #SheWon https://t.co/FVeGqhYxRZ",False,really really good night shewon,0.6000000000000001,0.7,positive
realDonaldTrump,"Such a great honor. Final debate polls are in - and the MOVEMENT wins!
#AmericaFirst #MAGA #ImWithYou… https://t.co/DV1BKMwHEM",True,great honor final debate polls movement wins americafirst maga imwithyou,0.65,0.3666666666666667,positive
HillaryClinton,"""Register. Vote. Go out and get engaged!” —@JoeBiden #NationalVoterRegistrationDay https://t.co/tTgeqxNqYm",False,register vote get engaged joebiden nationalvoterregistrationday,0.0,0.0,neutral
HillaryClinton,"""I'm glad Trump found out that Crimea was part of Ukraine. By the way, I heard he was on the verge of acknowledging gravity."" —@JoeBiden",False,glad trump found crimea part ukraine way heard verge acknowledging gravity joebiden,1.0,0.5,positive
HillaryClinton,"“Let me tell you who built this damn country: the middle class.” —@JoeBiden

Let's keep building it, together: https://t.co/tTgeqxNqYm",False,let tell built damn country middle class joebiden let keep building together,0.0,0.0,neutral
HillaryClinton,One moment last night that proved—again—that Hillary's the only candidate ready to lead on the global stage: https://t.co/i4lrw7BpE9 #SheWon,False,one moment last night proved hillary candidate ready lead global stage shewon,0.18888888888888888,0.06666666666666667,positive
realDonaldTrump,'U.S. Murders Increased 10.8% in 2015' via @WSJ: https://t.co/CIJMQJhLqp,False,murders increased via wsj,0.0,0.0,neutral
HillaryClinton,"""Anyone who complains about microphone problems is not having a good night."" —Hillary #SheWon",False,anyone complains microphone problems good night hillary shewon,0.6000000000000001,0.7,positive
realDonaldTrump,"Thank you! #TrumpWon #MAGA 
https://t.co/a5rr1i38km",False,thank trumpwon maga,0.0,0.0,neutral
realDonaldTrump,Hillary's been failing for 30 years in not getting the job done - it will never change.,False,hillary failing years getting job done never change,0.0,0.0,neutral
HillaryClinton,"Trump on Alicia, 1996: ""Miss Piggy.""

This morning: ""She gained a massive amount of weight...it was a real problem."" https://t.co/0wrISjJe6z",False,trump alicia miss piggy morning gained massive amount weight real problem,0.65,0.1,positive
realDonaldTrump,'True blue-collar billionaire Donald Trump shows Hillary Clinton is out of touch' https://t.co/NHO1OicfVm,False,true blue collar billionaire donald trump shows hillary clinton touch,0.375,0.175,positive
realDonaldTrump,The #1 trend on Twitter right now is #TrumpWon - thank you!,False,trend twitter right trumpwon thank,0.5357142857142857,0.2857142857142857,positive
realDonaldTrump,I won every poll from last nights Presidential Debate - except for the little watched @CNN poll.,False,every poll last nights presidential debate except little watched cnn poll,0.2833333333333333,-0.09375,negative
realDonaldTrump,"'How Trump won over a bar full of undecideds and Democrats'
https://t.co/WWO39kxn8Y",False,trump bar full undecideds democrats,0.55,0.35,positive
realDonaldTrump,I really enjoyed the debate last night.Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years?,False,really enjoyed debate last night crooked hillary says going many things done last years,0.2866666666666667,0.2,positive
HillaryClinton,"""I have a winning temperament."" —Donald Trump last night 

Really? #SheWon https://t.co/nMTFoISagO",False,winning temperament donald trump last night really shewon,0.33888888888888885,0.2333333333333333,positive
HillaryClinton,Only one person on last night's stage is prepared to be Commander-in-Chief. Make sure she gets the chance:… https://t.co/o50AezGRrb,True,one person last night stage prepared commander chief make sure gets chance,0.47777777777777775,0.25,positive
realDonaldTrump,Great debate poll numbers - I will be on @foxandfriends at 7:00 to discuss. Enjoy!,False,great debate poll numbers foxandfriends discuss enjoy,0.625,0.6000000000000001,positive
realDonaldTrump,"Thank you! Four new #DebateNight polls with the MOVEMENT winning. Together, we will MAKE AMERICA SAFE &amp; GREAT AGAIN… https://t.co/39FCnUf8Pb",True,thank four new debatenight polls movement winning together make america safe amp great,0.6136363636363636,0.48409090909090907,positive
realDonaldTrump,".@DRUDGE_REPORT's First Presidential Debate Poll:
Trump: 80%
Clinton: 20%
Join the MOVEMENT today &amp; lets #MAGA!… https://t.co/B12lgC97tn",True,drudge_report first presidential debate poll trump clinton join movement today amp lets maga,0.3333333333333333,0.25,positive
realDonaldTrump,"Thank you! CNBC #DebateNight poll with over 400,000 votes. 
Trump 61%
Clinton 39%
#AmericaFirst #ImWithYou… https://t.co/MJ3NwA98op",True,thank cnbc debatenight poll votes trump clinton americafirst imwithyou,0.0,0.0,neutral
realDonaldTrump,"TIME #DebateNight poll - over 800,000 votes. Thank you! 
#AmericaFirst #MAGA https://t.co/bTPX9E0wKu",False,time debatenight poll votes thank americafirst maga,0.0,0.0,neutral
realDonaldTrump,".@newtgingrich just said ""a historic victory for Trump."" NICE!",False,newtgingrich said historic victory trump nice,0.5,0.3,positive
HillaryClinton,"Tonight, @HillaryClinton proved she is ready to be President — and Donald Trump proved he is not. #debatenight https://t.co/Zeq5iF09Bc",False,tonight hillaryclinton proved ready president donald trump proved debatenight,0.5,0.2,positive
realDonaldTrump,"Wow, did great in the debate polls (except for @CNN - which I don't watch). Thank you!",False,wow great debate polls except cnn watch thank,0.875,0.45,positive
HillaryClinton,43 days left. Let’s go win this thing: https://t.co/vJShYQPqJb #DebateNight https://t.co/MzR30MEI0J,False,days left let win thing debatenight,0.2,0.4,positive
realDonaldTrump,"Thank you Governor @TerryBranstad! 
#AmericaFirst #Debates2016 https://t.co/yIeZctdQy8",False,thank governor terrybranstad americafirst debates,0.0,0.0,neutral
realDonaldTrump,"Thank you Governor @Mike_Pence!
Lets MAKE AMERICA SAFE AND GREAT AGAIN with the American people. 
#AmericaFirst… https://t.co/6k7qP9X8nC",True,thank governor mike_pence lets make america safe great american people americafirst,0.4166666666666667,0.43333333333333335,positive
realDonaldTrump,"Thank you Senator @TedCruz!
#Debates2016 #MAGA https://t.co/cgO6109USJ",False,thank senator tedcruz debates maga,0.0,0.0,neutral
HillaryClinton,.@timkaine That's what we @Wellesley girls do! And it's so clear @HillaryClinton is the only candidate prepared to be president #debatenight,False,timkaine wellesley girls clear hillaryclinton candidate prepared president debatenight,0.3833333333333333,0.10000000000000002,positive
HillaryClinton,#DebateNight https://t.co/x4oTfkIlHS,False,debatenight,0.0,0.0,neutral
HillaryClinton,"Donald Trump called her ""Miss Piggy"" and ""Miss Housekeeping.""

Her name is Alicia Machado. #DebateNight https://t.co/0wrISjJe6z",False,donald trump called miss piggy miss housekeeping name alicia machado debatenight,0.0,0.0,neutral
HillaryClinton,Hillary Clinton did what she needed to do: https://t.co/OhN5ZjCu2G https://t.co/4P3f6pNXB3,False,hillary clinton needed,0.0,0.0,neutral
HillaryClinton,"Tonight, we heard from two candidates -- but only one president. #ImWithHer",False,tonight heard two candidates one president imwithher,0.0,0.0,neutral
HillaryClinton,"""Hillary won big time. It was a shut out."" -- @HardballChris #debatenight",False,hillary big time shut hardballchris debatenight,0.1,0.0,neutral
HillaryClinton,Clinton won this debate in part because she had more stamina for this than Trump. He flagged badly after 30 minutes. She didn't.,False,clinton debate part stamina trump flagged badly minutes,0.6666666666666666,-0.6999999999999998,negative
HillaryClinton,The presidency isn't a reality show—it's as real as it gets. Make sure you're registered to vote:… https://t.co/gBZ42fzFnF,True,presidency reality show real gets make sure registered vote,0.5944444444444444,0.35,positive
HillaryClinton,Text IMWITHHER to 47246 to tell Hillary you're on her team all the way to Election Day. #debatenight https://t.co/YzlkvzVTGY,False,text imwithher tell hillary team way election day debatenight,0.0,0.0,neutral
HillaryClinton,Gracias señora @HillaryClinton su respeto a las mujeres y nuestras diferencias la hacen grande! Estoy con usted!,False,gracias señora hillaryclinton respeto las mujeres nuestras diferencias hacen grande estoy con usted,0.0,0.0,neutral
HillaryClinton,RT this if you're proud to be standing with Hillary tonight. #debatenight https://t.co/91tBmKxVMs,False,proud standing hillary tonight debatenight,1.0,0.8,positive
HillaryClinton,Hillary just proved she's the only candidate who's ready to be president. Chip in now and let's go win this thing: https://t.co/ATqqxWU0Hc,False,hillary proved candidate ready president chip let win thing,0.45,0.5,positive
realDonaldTrump,".@HillaryClinton’s Nuclear Agreement Paved The Way For The $400 Million Ransom Payment #DebateNight
https://t.co/qfZTx6aKYs",False,hillaryclinton nuclear agreement paved way million ransom payment debatenight,0.0,0.0,neutral
realDonaldTrump,Nothing on emails. Nothing on the corrupt Clinton Foundation. And nothing on #Benghazi. #Debates2016 #debatenight,False,nothing emails nothing corrupt clinton foundation nothing benghazi debates debatenight,1.0,-0.5,negative
HillaryClinton,"When Donald Trump says he has a ""winning temperament."" #debatenight https://t.co/ElQ7aG2vxu",False,donald trump says winning temperament debatenight,0.75,0.5,positive
HillaryClinton,The woman Trump called “Miss Piggy” has a name: Alicia. #debatenight https://t.co/XlthzE8X8j,False,woman trump called miss piggy name alicia debatenight,0.0,0.0,neutral
realDonaldTrump,.@HillaryClinton - Obama #ISIS Strategy Has Allowed It To Expand To Become A Global Threat #DebateNight https://t.co/f7PctDE31L,False,hillaryclinton obama isis strategy allowed expand become global threat debatenight,0.0,0.0,neutral
HillaryClinton,"""When Donald Trump spends 11 hours testifying in front of a congressional committee, he can talk to me about stamina."" —Hillary #debatenight",False,donald trump spends hours testifying front congressional committee talk stamina hillary debatenight,0.0,0.0,neutral
realDonaldTrump,.@realDonaldTrump calling out @HillaryClinton's support for NAFTA = most searched moment during tonight's debate.… https://t.co/2BovwrJisi,False,realdonaldtrump calling hillaryclinton support nafta searched moment tonight debate,0.0,0.0,neutral
HillaryClinton,"Donald Trump's ""cavalier attitude about nuclear weapons is so deeply troubling.” #DebateNight https://t.co/z66rUZz31J",False,donald trump cavalier attitude nuclear weapons deeply troubling debatenight,0.4,0.0,neutral
realDonaldTrump,"Russia has more warheads than ever, N Korea is testing nukes, and Iran got a sweetheart deal to keep theirs. Thanks, @HillaryClinton.",False,russia warheads ever korea testing nukes iran got sweetheart deal keep thanks hillaryclinton,0.2,0.2,positive
HillaryClinton,.@realDonaldTrump: Barack Obama is your president too. #debatenight,False,realdonaldtrump barack obama president debatenight,0.0,0.0,neutral
HillaryClinton,A man who can be provoked by a tweet should not have his hands anywhere near the nuclear codes. #DebateNight,False,man provoked tweet hands anywhere near nuclear codes debatenight,0.4,0.1,positive
realDonaldTrump,"Hillary Clinton failed all over the world. 
❌LIBYA
❌SYRIA
❌IRAN
❌IRAQ
❌ASIA PIVOT
❌RUSSIAN RESET
❌BENGHAZI… https://t.co/OoakXs2rij",True,hillary clinton failed world libya syria iran iraq asia pivot russian reset benghazi,0.15,-0.25,negative
HillaryClinton,This should go without saying: Taking nuclear war lightly is disqualifying for anyone seeking to be President of th… https://t.co/OXigxJhmqJ,True,without saying taking nuclear war lightly disqualifying anyone seeking president,0.7,0.4,positive
HillaryClinton,"Donald Trump says he has better temperament than Hillary Clinton.

Fact check: He is Donald Trump. 

#debate",False,donald trump says better temperament hillary clinton fact check donald trump debate,0.5,0.5,positive
realDonaldTrump,"100% TRUE --&gt; @realDonaldTrump is right - @HillaryClinton did call TPP ‘the gold standard’ #Debates2016 
https://t.co/W7L7a9wSCB",False,true realdonaldtrump right hillaryclinton call tpp gold standard debates,0.3952380952380952,0.2119047619047619,positive
realDonaldTrump,Hillary Clinton is the only candidate on stage who voted for the Iraq War. #Debates2016 #MAGA https://t.co/Um5WJXEEKr,False,hillary clinton candidate stage voted iraq war debates maga,0.0,0.0,neutral
realDonaldTrump,".@HillaryClinton's 2008 Campaign And Supporters Trafficked In Rumors About Obama's Heritage #DebateNight 
https://t.co/6EEOAaCiNv",False,hillaryclinton campaign supporters trafficked rumors obama heritage debatenight,0.0,0.0,neutral
realDonaldTrump,"Hillary's policies have made America less safe, that's why 200+ general and military leaders have endorsed… https://t.co/x7sBpy0CEV",False,hillary policies made america less safe general military leaders endorsed,0.2916666666666667,0.07083333333333336,positive
HillaryClinton,"""I hope the fact-checkers are turning up the volume. Donald Trump supported the invasion of Iraq.” https://t.co/CoyJtoyxd0",False,hope fact checkers turning volume donald trump supported invasion iraq,0.0,0.0,neutral
HillaryClinton,This is... still not true! #debate https://t.co/6SKFZunCL5,False,still true debate,0.65,0.35,positive
HillaryClinton,What is the deal with Donald Trump and Russia? https://t.co/xUYxOdoYo3 #debatenight,False,deal donald trump russia debatenight,0.0,0.0,neutral
HillaryClinton,Trump's top Russia advisor is being probed for meeting with the Kremlin aide in charge of US election intelligence.  https://t.co/GN5Gg4ug0L,False,trump top russia advisor probed meeting kremlin aide charge election intelligence,0.5,0.5,positive
realDonaldTrump,"Jesse Jackson on @realDonaldTrump - when he donated space for the Rainbow/Push Coalition. 
#DebateNight https://t.co/JTbqO0DNzy",False,jesse jackson realdonaldtrump donated space rainbow push coalition debatenight,0.0,0.0,neutral
HillaryClinton,"When Donald Trump goes low, we go high. #DebateNight https://t.co/5MUlOMJqWM",False,donald trump goes low high debatenight,0.41999999999999993,0.08,positive
HillaryClinton,"When a man is sued for discriminating against black tenants &amp; pushes birtherism, he's giving you an idea of what kind of president he'd be.",False,man sued discriminating black tenants amp pushes birtherism giving idea kind president,0.6666666666666667,0.21666666666666667,positive
HillaryClinton,This is just one of the business practices that led to Donald Trump being sued for discrimination. #Debate… https://t.co/PoXvMnGfCy,False,one business practices led donald trump sued discrimination debate,0.0,0.0,neutral
HillaryClinton,"Donald Trump's answer for his five years of pushing the racist birther conspiracy theory?

""I say nothing."" #debatenight",False,donald trump answer five years pushing racist birther conspiracy theory say nothing debatenight,0.0,0.0,neutral
HillaryClinton,"""Trump just criticized me for preparing for this debate. You know what else I prepared for? Being president."" #DebateNight",False,trump criticized preparing debate know else prepared president debatenight,0.0,0.0,neutral
HillaryClinton,President Obama was born in the United States. He’s American. Trump only has one reason for refusing to admit it. #debatenight,False,president obama born united states american trump one reason refusing admit debatenight,0.0,0.0,neutral
HillaryClinton,"Still a complete lie. #DebateNight 
https://t.co/F8aCfIqYWs",False,still complete lie debatenight,0.4,0.1,positive
HillaryClinton,Donald Trump is more concerned with pandering to the gun lobby than keeping families safe. #DebateNight https://t.co/LspcUJNUc5,False,donald trump concerned pandering gun lobby keeping families safe debatenight,0.5,0.5,positive
HillaryClinton,"The fact that Trump's answer to a question about racial injustice is just ""we need law and order"" pretty much says it all. #debatenight",False,fact trump answer question racial injustice need law order pretty much says debatenight,0.6,0.225,positive
HillaryClinton,We’ve got to address the systemic racism in our criminal justice system and end private prisons. #DebateNight https://t.co/8afCXJAAjI,False,got address systemic racism criminal justice system end private prisons debatenight,0.4625,-0.2,negative
HillaryClinton,How Hillary Clinton Took Charge In The First Presidential Debate https://t.co/4gwtCnACV0,False,hillary clinton took charge first presidential debate,0.3333333333333333,0.25,positive
realDonaldTrump,I will stand with police and protect ALL Americans! #Debates2016 #MAGA https://t.co/CX4oEWgEMp,False,stand police protect americans debates maga,0.0,0.0,neutral
HillaryClinton,We are not going to bring New York’s unconstitutional stop-and-frisk program nationwide. #debatenight,False,going bring new york unconstitutional stop frisk program nationwide debatenight,0.45454545454545453,0.13636363636363635,positive
realDonaldTrump,"When @realDonaldTrump is POTUS, families are going to be safe and secure. Law and order will be RESTORED! #MAGA… https://t.co/4Qo9gV7mgc",False,realdonaldtrump potus families going safe secure law order restored maga,0.55,0.45,positive
HillaryClinton,"""Maybe he didn't do a good job."" —Donald Trump

Looks like you “loved” it at the time. #DebateNight… https://t.co/LelC6Tb3nj",True,maybe good job donald trump looks like loved time debatenight,0.7000000000000001,0.7,positive
realDonaldTrump,WATCH: @realDonaldTrump on the stakes in this election #Debates2016 https://t.co/l7DSbPXDGh,False,watch realdonaldtrump stakes election debates,0.0,0.0,neutral
HillaryClinton,"""It's about time this country had somebody running it who has an idea about money."" —Trump #debatenight https://t.co/dpDrKCHVCd",False,time country somebody running idea money trump debatenight,0.0,0.0,neutral
HillaryClinton,"Paying zero in taxes doesn’t make you ""smart.""

It makes you a tax evader. https://t.co/g9nQkSRvTB",False,paying zero taxes make smart makes tax evader,0.6428571428571429,0.21428571428571427,positive
HillaryClinton,No wonder Donald Trump is hiding his tax returns. #debatenight https://t.co/gcvsadMwHJ,False,wonder donald trump hiding tax returns debatenight,0.0,0.0,neutral
realDonaldTrump,"This is the simple fact about @HillaryClinton: she is a typical politician - all talk, no action. #Debates2016",False,simple fact hillaryclinton typical politician talk action debates,0.3190476190476191,-0.022222222222222216,negative
HillaryClinton,"No legit reason @realDonaldTrump can't release returns while being audited, but if scared, release earlier returns no longer under audit.",False,legit reason realdonaldtrump release returns audited scared release earlier returns longer audit,0.5,0.0,neutral
realDonaldTrump,HILLARY'S BAD TAX HABIT! https://t.co/x3FBy8Hdq2,False,hillary bad tax habit,0.6666666666666666,-0.6999999999999998,negative
realDonaldTrump,A Clinton economy = more taxes and more spending! #DebateNight https://t.co/oFlaAhrwe5,False,clinton economy taxes spending debatenight,0.0,0.0,neutral
realDonaldTrump,.@HillaryClinton has been part of the rigged DC system for 30 years? Why would we take policy advice from her? #Debates2016,False,hillaryclinton part rigged system years would take policy advice debates,0.0,0.0,neutral
realDonaldTrump,"Instead of driving jobs and wealth away, AMERICA will become the world's great magnet for innovation and job creati… https://t.co/02NMQn3ZNQ",True,instead driving jobs wealth away america become world great magnet innovation job creati,0.75,0.8,positive
HillaryClinton,"In the spirit of friendship, here's Donald Trump's ISIS plan for your consideration. #debate https://t.co/YCXFWZyiGA",False,spirit friendship donald trump isis plan consideration debate,0.0,0.0,neutral
HillaryClinton,Donald Trump may live in his own reality—but we've got his own words right here. Check them out: https://t.co/NLPH8sbAGn #debatenight,False,donald trump may live reality got words right check debatenight,0.5178571428571428,0.21103896103896103,positive
realDonaldTrump,.@HillaryClinton channels John Kerry on trade: she was for bad trade deals before she was against them. #TPP #Debates2016,False,hillaryclinton channels john kerry trade bad trade deals tpp debates,0.6666666666666666,-0.6999999999999998,negative
HillaryClinton,"We can step up and confront climate change, save our planet, and invest in clean energy. 

Or, we can do nothing.… https://t.co/U29h8UaYZP",True,step confront climate change save planet invest clean energy nothing,0.7000000000000001,0.3666666666666667,positive
HillaryClinton,"""I never said that."" —Donald Trump, who said that. #debatenight https://t.co/6T8qV2HCbL",False,never said donald trump said debatenight,0.0,0.0,neutral
HillaryClinton,"""That's called business."" —Donald Trump on the housing crash.

For millions of Americans it was called ""losing their home."" #DebateNight",False,called business donald trump housing crash millions americans called losing home debatenight,0.0,0.0,neutral
realDonaldTrump,.@HillaryClinton and Obama policies increased debt by $9trillion over the last 8 years,False,hillaryclinton obama policies increased debt trillion last years,0.06666666666666667,0.0,neutral
HillaryClinton,"Economists project that Trump’s plans would add more than $5,000,000,000,000 to the national debt. That's ""trillion"" with a ""T.""",False,economists project trump plans would add national debt trillion,0.0,0.0,neutral
HillaryClinton,"Donald Trump seems to think $15 million is a ""small loan."" #debate https://t.co/Bo3HOhdR92 https://t.co/K5bCPX3ujx",False,donald trump seems think million small loan debate,0.4,-0.25,negative
HillaryClinton,"Every time Trump makes a show of railing against outsourcing, remember the countries he shipped jobs and profits to: https://t.co/5MZTsOgYR9",False,every time trump makes show railing outsourcing remember countries shipped jobs profits,0.0,0.0,neutral
realDonaldTrump,A @realDonaldTrump Administration will bring JOBS BACK! #Debates2016 https://t.co/4O3rIyycyW,False,realdonaldtrump administration bring jobs back debates,0.0,0.0,neutral
HillaryClinton,"Having a small business owner for a dad may not get you multi-million-dollar bailouts, but it does teach you the va… https://t.co/3LV3pmjRBI",True,small business owner dad may get multi million dollar bailouts teach,0.4,-0.25,negative
HillaryClinton,How many Trump products were made overseas? Here’s the complete list. https://t.co/OdJOZeZau0,False,many trump products made overseas complete list,0.45,0.3,positive
HillaryClinton,There's only one candidate on stage who will support working families. #DebateNight https://t.co/uOV7JC9uQC,False,one candidate stage support working families debatenight,0.0,0.0,neutral
HillaryClinton,"We have to build an economy that works for everyone, not just those at the top. #DebateNight https://t.co/XPTvh4Dovf",False,build economy works everyone top debatenight,0.5,0.5,positive
